rating_good_or_bad,require_guest_phone_verification,require_guest_profile_picture,cancellation_policy,instant_bookable,requires_license,availability_365,availability_90,availability_60,availability_30,maximum_nights,minimum_nights,extra_people,guests_included,price,bed_type,beds,bedrooms,bathrooms,accommodates,room_type,property_type,neighbourhood_group_cleansed,host_identity_verified,host_has_profile_pic,host_is_superhost,host_acceptance_rate,host_response_rate,host_response_time,not_a_superhost,a_superhost,host_does_not_have_profile_pic,host_does_have_profile_pic,host_does_not_have_identity_ver,host_does_have_identity_ver,host_does_not_require_license,not_instantly_bookable,instantly_bookable,does_not_require_guest_prof_pic,requires_guest_profile_pic,does_not_require_guest_phone_verification,requires_guest_phone_verification,rt_few_days,rt_within_day,rt_few_hours,rt_within_hours,location_ballard,location_beacon_hill,location_capital_hill,location_cascade,location_central_area,location_delridge,location_downtown,location_interbay,location_lake_city,location_magnolia,location_northgate,location_other,location_queen_anne,location_rainier_vally,location_seward_park,location_university_district,location_west_seattle,pt_apartment,pt_b&b,pt_boat,pt_bungalow,pt_cabin,pt_rv,pt_chalet,pt_condo,pt_dorm,pt_house,pt_loft,pt_other,pt_tent,pt_townhouse,pt_treehouse,pt_yurt,rt_entire_home,rt_private_room,rt_shared_room,bt_air_bed,bt_couch,bt_futon,bt_pull_out_sofa,bt_real_bed,cp_flexible,cp_moderate,cp_strict
good_review,f,f,moderate,f,f,346,71,41,14,365,1,$5.00,2,$85.00,Real Bed,1.0,1.0,1.0,4,Entire home/apt,Apartment,Queen Anne,t,t,f,100%,96%,within a few hours,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
good_review,t,t,strict,f,f,291,16,13,13,90,2,$0.00,1,$150.00,Real Bed,1.0,1.0,1.0,4,Entire home/apt,Apartment,Queen Anne,t,t,t,100%,98%,within an hour,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
good_review,f,f,strict,f,f,220,17,6,1,30,4,$25.00,10,$975.00,Real Bed,7.0,5.0,4.5,11,Entire home/apt,House,Queen Anne,t,t,f,100%,67%,within a few hours,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
good_review,f,f,moderate,f,f,346,71,49,20,14,3,$10.00,1,$80.00,Real Bed,1.0,1.0,1.0,2,Private room,House,Queen Anne,t,t,t,100%,100%,within an hour,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
good_review,t,t,strict,f,f,100,42,42,22,7,2,$0.00,1,$60.00,Real Bed,1.0,1.0,1.0,2,Private room,Cabin,Queen Anne,t,t,t,100%,100%,within an hour,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
bad_review,t,t,strict,f,f,324,49,19,6,365,2,$0.00,1,$150.00,Real Bed,1.0,1.0,1.0,4,Entire home/apt,Apartment,Queen Anne,t,t,t,100%,98%,within an hour,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
good_review,f,t,moderate,f,f,153,0,0,0,7,3,$15.00,2,$95.00,Real Bed,1.0,1.0,1.0,2,Entire home/apt,House,Queen Anne,t,t,t,100%,100%,within a few hours,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
bad_review,f,f,strict,f,f,229,21,21,21,1125,3,$0.00,1,$99.00,Real Bed,1.0,1.0,1.0,2,Entire home/apt,House,Queen Anne,t,t,f,100%,100%,within a few hours,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
good_review,f,f,moderate,f,f,362,90,60,30,14,3,$0.00,1,$245.00,Real Bed,3.0,2.0,1.0,4,Entire home/apt,Apartment,Queen Anne,t,t,t,100%,100%,within an hour,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
good_review,f,f,strict,f,f,337,63,40,13,1125,2,$20.00,4,$165.00,Real Bed,3.0,2.0,1.0,5,Entire home/apt,House,Queen Anne,t,t,f,100%,100%,within an hour,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
